ÍNDICE;CÓD. ESTAÇÃO;LATITUDE;LONGITUDE;BACIA HIDROGRÁFICA;RECURSO HÍDRICO;REGIÃO;MUNICÍPIO;AMBIENTE;DATA COLETA;HORA COLETA;CHUVA 24H;ALCALINIDADE;ALUMÍNIO;CÁDMIO;CHUMBO;CLORETO;CLOROFILA A;COBRE;COLIFORMES TERMOTOLERANTES;COLIFORMES TOTAIS;CONDUTIVIDADE;CROMO TOTAL;DEMANDA BIOQUÍMICA DE OXIGÊNIO;DEMANDA QUÍMICA DE OXIGÊNIO;ESCHERICHIA COLI;FERRO;FITOPLANCTON  - CIANOBACTÉRIAS;FOSFATO ORTO;FÓSFORO TOTAL;MANGANÊS;MERCÚRIO EM MICROGRAMA POR LITRO (UG/L);NÍQUEL;NITRATO;NITROGÊNIO AMONIACAL;NITROGÊNIO ORGÂNICO;NITROGÊNIO TOTAL KJELDAHL;OXIGÊNIO DISSOLVIDO;PH;PROFUNDIDADE COLETA;PROFUNDIDADE TOTAL;SALINIDADE;SÓLIDOS DISSOLVIDOS TOTAIS;SÓLIDOS SUSPENSOS TOTAIS;SÓLIDOS TOTAIS;TEMPERATURA DA ÁGUA;TEMPERATURA DO AR;TRANSPARÊNCIA DA ÁGUA;TURBIDEZ;VAZÃO RECURSO HÍDRICO;ZINCO
1;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;29/06/2016;10:50:00;AUSENTE;=       35,0000;;;;=       27,8000;CC;;;;     123,3000;;=        3,0000;=       31,0000;=      173,1000;;=      171,0000;=        0,0710;=        0,1050;;;;B;<        0,0640;;B;       5,1100;       6,4800;       0,8800;       2,4000;;=      100,0000;<       10,0000;;      14,4000;      13,0000;       0,4000;=       23,0000;;
2;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;26/09/2016;11:05:00;AUSENTE;=       11,0000;;;;=       10,1000;=        2,1900;;;;      81,0000;;=        1,0000;=       15,0000;=       28,8000;;=       47,0000;=        0,1010;=        0,2020;;;;B;=        0,1350;;=        0,9100;       6,3900;       7,1000;       0,2000;       2,7500;       0,0400;=       74,0000;=       15,0000;;      17,4300;      16,0000;       0,2000;=       12,0000;;
3;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;14/12/2016;10:21:00;AUSENTE;=        7,7000;;;;=        9,6000;=        7,6400;;;;      66,6000;;=        2,0000;=       27,0000;=      122,3000;;=     1368,0000;=        0,0890;=        0,2200;;;;=        0,1500;=        0,5300;;=        1,3500;       6,7700;       6,2100;       0,2000;       2,7500;;=      123,0000;<       10,0000;;      24,8900;      19,5000;       0,3000;=       49,1000;;
4;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;27/03/2017;11:00:00;AUSENTE;=       42,5000;;;;=       14,3000;=       40,1000;;;;     139,1000;;=        4,0000;=       24,0000;=      770,1000;;=      129,0000;=        0,1840;=        0,2330;;;;B;=        0,6030;;=        0,6840;       3,2500;       6,6700;       0,2000;       1,7500;       0,0700;=      100,0000;=       13,0000;;      23,3000;      23,0000;       0,3000;      23,5000;;
5;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;26/06/2017;10:50:00;AUSENTE;=       22,1000;;<        0,0060;;=       10,1000;=        5,5300;=        0,0040;;>     2419,6000;      65,4000;;=        2,0000;=       14,0000;=       49,6000;=        3,1200;=      438,0000;=        0,1090;=        0,1130;=        0,0510;;<        0,0110;B;=        0,1740;;=        1,1200;       7,6300;       6,7300;       0,2000;       2,1500;       0,0300;=       87,0000;<       10,0000;;      16,0100;      17,1600;       0,3000;=       15,5000;;=        0,0150
6;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;25/09/2017;10:55:00;AUSENTE;=       14,9000;;<        0,0060;;=        8,6000;=        3,5600;<        0,0040;;>     2419,6000;      69,0000;;=        2,0000;=       17,0000;=       34,7000;=        3,5500;=       68,0000;=        0,1180;=        0,1840;=        0,0450;;=        0,0140;B;=        0,1630;;CQ;       7,5000;       6,7100;       0,2000;       2,7500;       0,0300;=       57,0000;=       21,0000;;      20,3600;      21,3000;       0,2000;      79,6000;;=        0,0240
7;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;26/12/2017;11:30:00;AUSENTE;=       19,4000;;<        0,0020;;=        8,8000;=        2,6700;=        0,0030;;;      75,6000;;=        2,0000;=       32,0000;=      344,2000;=        1,9400;=      242,0000;=        0,0920;=        0,1710;=        0,0660;;<        0,0110;B;I;;=        1,9070;       3,5600;       6,2700;       0,2000;       3,0000;       0,0300;=       86,0000;=       11,0000;;      22,4100;      22,4000;       0,3000;      35,9300;;=        0,0190
8;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;28/03/2018;10:15:00;AUSENTE;=       39,8000;<        0,0030;<        0,0020;<        0,0040;=       15,9000;=        1,8400;=        0,0070;;;     149,3000;<        0,0040;=        4,0000;=       40,0000;;=        2,9600;=     2901,0000;=        0,1950;=        0,2630;=        0,1120;;<        0,0110;B;=        1,1900;;=        1,6200;       2,2100;       6,3400;       0,2000;       1,5000;       0,0700;=      152,0000;=       15,0000;;      22,2500;      22,9000;       0,3000;      29,2200;;=        0,0100
9;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;25/06/2018;11:20:00;AUSENTE;=       27,2000;=        0,0120;<        0,0020;=        0,0160;=        9,8000;<        1,0000;=        0,0050;;;      87,7000;=        0,0090;=        4,0000;=       38,0000;>     2419,6000;=        5,4000;=     1812,0000;=        0,1960;=        0,1970;=        0,1050;;<        0,0040;B;=        0,7580;;=        1,9600;       6,5700;       6,4000;       0,2000;       2,1000;       0,0400;=       20,0000;=      106,0000;;      13,8300;      12,9200;       0,2000;=      125,7000;;=        0,0280
10;87332500;-29,914471;-50,318191;Litoral Médio;Lagoa dos Barros;Litoral;OSORIO;Lêntico;24/09/2018;10:14:00;AUSENTE;=       23,9000;B;<        0,0060;B;=        9,8000;=        6,0200;<        0,0040;;;      83,7000;B;       1,0000;      23,0000;=      770,1000;       3,3500;=      267,0000;       0,0410;       1,0550;       0,0470;;<        0,0110;B;       0,1660;;=        1,2600;       4,9400;       6,4900;       0,2000;       3,0000;       0,0400;=      115,0000;=       13,0000;;      20,5400;      20,5100;       0,6000;      41,6000;;       0,0090
